id,item,category,serial,status,location,purchased,price,seller,notes,,,
EQ_001,Camera body,camera,,active,studio,,,,model + serial to add,,,
EQ_002,Camera body (backup),camera,,active,studio,,,,model + serial to add,,,
EQ_003,LED light panel,lighting,,active,studio,,,,,,,
EQ_004,OBS studio broadcast rig,broadcast,,active,studio,,,,PC + capture + stream chain,,,
EQ_005,Canon R8 Camera EOS Mirrorless camera,lens,(286290342415) active studio 9 Jun 2025 1273.00 mh-fulfillment,,,,,,,,REVIEW - could not split, check by hand
EQ_006,Canon R8 body,camera,286290342415,active,studio,2025-06-09,1273,mh-fulfillment,,,,
EQ_007,Wireless Display Adapter,other,,active,studio,2024-04-28,15.99,XINRONG JIANG LTD,Product support window closed on 29 April 2026,,,
EQ_008,FeiyuTech Official SCORP-C Camera Gimbal,camera,,active,studio,2023-07-21,279,Shenzhen Jingzejia Keji Youxiangongsi,,,,
EQ_009,HP DeskJet 2720e All-in-One Colour Printer with 6 months of instant Ink with HP+ White,other,other,active,studio,2023-11-25,40.87,Amazon EU,,,,
EQ_010,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_011,SanDisk Extreme PRO SD UHS-II USB-C Card Reader,computer,,active,studio,2025-08-03,19.36,Amazon EU S.à r.l.,UK Branch,,,
EQ_012,Wireless Earbuds,audio,,active,studio,2022-11-27,17.59,BINCAO LTD,,,,
EQ_013,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_014,JKSWT Wireless Mouse,computer,,active,studio,2022-11-27,6.99,Amazon EU,,,,
EQ_015,"""5 String"" Electric Bass Strings Light/Medium Gauge | Steel Core Set With Ball Ends | Best For Playing Power/Swing Bass Guitars (Five String Bass Guitar Strings Long Scale) - ADAGIO PRO",other,,active,studio,2022-11-26,12.99,Advantage Musical Instruments Ltd,,,,
EQ_016,Cable Matters USB 3.0 Data Transfer Cable PC to PC,computer,,active,studio,2022-11-20,22.99,Cable Matters Inc.,,,,
EQ_017,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_018,"SONICAKE 6 Inch Guitar Patch Cable Guitar Effect Pedal Cables Noiseless 1/4"" Right Angle TS Mono Cords for Guitar/Bass Effect Pedals Black 6 Pack",other,,active,studio,2022-11-13,11.99,CHANGSHA JIFENGHUWAI WENTI YONGPIN YOU XIAN GONGSI,,,,
EQ_019,Pedal Power Supply Adapter DPA-1 Donner 9V DC 1A Tip Negative 5 Way Daisy Chain Cables for Effect Pedal,other,Broadcast,active,studio,2022-11-11,14.99,Guangzhou Xutuo Shangmao Youxian Gongsi,,,,
EQ_020,FIDECO Docking Station,computer,,active,studio,2022-09-14,34.99,Shenzhenshishangyunjikejiyouxiangongsi,,,,
EQ_021,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_022,[400 Labels] Self Adhesive White Sticky Printer Labels for A4 Printer 4 per Sheet | A6 Sticky Printer 4 per A4 Sheet Address Labels | Laser Printer Labels 4 per Sheet for All Types of A4 Printer,other,,active,studio,2022-08-02,10.99,Booboo Trading Limited,,,,
EQ_023,H&S Mobile Phone Tripod Mount Holder Adapter Bracket Smartphone Clamp for Ring Light iPhone Samsung 360° Rotation,other,,active,studio,2022-05-10,5.99,SellerX One Ltd,,,,
EQ_024,Harwerrel 40mm Quick Release Plate Fits Arca-Swiss Standard for Camera Tripod Ballhead,rigging,,active,studio,2022-05-10,7.59,shenzhenshi zhenmiyuan maoyi youxiangongsi,,,,
EQ_025,Amazon Basics USB 3.0 A-Male to A-Female Extension Cable 3 m / 9.8 Feet,other,,active,studio,2022-04-26,6.3,Amazon EU,,,,
EQ_026,NULAXY HD 1080p Webcam with Microphone,camera,,active,studio,2022-04-24,22.99,Shenzhenyihengdamaoyiyouxiangongsi,,,,
EQ_027,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_028,Poorboy's World PB-AM16 Aluminium & Metal Heavy Duty Polish,other,,active,studio,2022-04-12,14.95,Amazon EU,,,,
EQ_029,sourcing map 150mm x 25mm 320 Grit Non-Woven Polishing Burnishing Wheel Nylon Wire Drawing Abrasive Flap Wheel for Stainless Steel Copper Red,other,,active,studio,2022-04-03,8.99,Ad Fontes Company Limited,,,,
EQ_030,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_031,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_032,Dune Mens CHARACTER Casual Chelsea Boots Size UK 8 Black Flat Heel,other,,active,studio,2023-11-09,62,Dune Group Limited,,,,
EQ_033,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_034,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_035,ARKTEK USB-C Adapter - USB A 3.0 (Male) to USB Type C (Female),other,,active,studio,2021-10-06,4.19,ShenzhenShiHeshenghuiDianZiShangWuYouXianGongSi,,,,
EQ_036,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_037,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_038,Maxesla Wifi Dongle for PC,computer,,active,studio,2021-05-22,10.55,Amazon EU,,,,
EQ_039,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_040,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_041,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_042,Holdfiturn 4Pcs Heavy Duty Castors Wheels 50mm Castor Wheels Rubber PU Swivel 200kg Trolley Furniture Casters with Screw,other,,active,studio,2021-05-09,5.99,PU ZHENG LIMITED,,,,
EQ_043,Panasonic ENELOOP PRO Rechargeable Ni-Mh Batteries 4x AA 1.2V battery,other,,active,studio,2023-10-17,16.49,Amazon EU,,,,
EQ_044,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_045,Stagg 6m High Quality XLR to Phono Plug Microphone Cable,other,,active,studio,2020-08-21,5.75,Amazon EU,,,,
EQ_046,RCA Connector,Audio,,active,studio,2020-04-11,5.99,Shenzhenyubolaishangmaoyouxiangongsi,,,,
EQ_047,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_048,Stagg 6m High Quality XLR to Phono Plug Microphone Cable,other,,active,studio,2020-08-21,5.75,Amazon EU,,,,
EQ_049,Stagg S-Series Deluxe Audio Cable - 6m (20ft) Jack to M XLR,audio,,active,studio,2020-08-20,6.41,Amazon EU,,,,
EQ_050,NEEWER 43 Inch/110 Centimeter Light Reflector Light Diffuser 5 in 1,lighting,,active,studio,2024-11-04,28.99,Amazon EU,,,,
EQ_051,TILTA Expandable Handle Base Accessory Mounting Bracket for DJI RS2,rigging,,active,studio,2024-10-04,23,Shenzhenshi Tietoukeji Youxiangongsi,,,,
EQ_052,Mini USB to USB C Cable USB C to Mini USB 3FT Mini USB to Type C,other,cable,active,studio,2024-09-24,6.99,Amazon EU,,,,
EQ_053,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_054,Panasonic eneloop SmartPlus charger for 1-4 AA/AAA Ni-MH batteries with 4 LED indicators & 10 safety features including 4 eneloop AA/Mignon batteries min. 2500 mAh (UK plug),other,,active,studio,2023-10-11,27.99,Amazon EU,,,,
EQ_055,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_056,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_057,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_058,REVIEW - model format fail,,,,,,, enter by hand,,,,
EQ_059,K&F Concept 58mm UV Filter Ultra Slim Japan Optics Multi Coated Ultraviolet Protection Lens Filter with Lens Cap Cleaning Cloth (Nano-K Series),lens,,active,studio,2024-08-14,11.99,Amazon EU,,,,
EQ_060,"NEEWER RS4 RS3 Neck Strap with Two NATO Rails & 1/4"" D Rings for DJI",camera,,active,studio,2024-08-14,11.24,Amazon EU,,,,
